0	0	234	-22	9	55	-22	9	0	5	7	0	0	0	220	0	0	-6	
0	0	44	-16	12	51	-16	12	0	5	7	0	0	0	215	0	0	-4	
0	0	42	-12	13	62	-12	13	0	5	7	0	0	0	208	0	0	-1	
0	0	321	-14	13	-54	-14	13	0	5	7	0	0	0	207	0	0	-1	
0	0	410	-20	10	-20	-20	10	0	5	7	0	0	0	215	0	0	-2	
0	0	403	-23	8	-59	-23	8	0	5	7	0	0	0	222	0	0	-4	
0	0	103	-19	7	-69	-19	7	0	5	7	0	0	0	217	0	0	-7	
0	0	82	-13	8	41	-13	8	0	5	7	0	0	0	211	0	0	-5	
0	0	335	-13	11	35	-13	11	0	5	7	0	0	0	211	0	0	-4	
0	0	360	-17	12	34	-17	12	0	5	7	0	0	0	215	0	0	-2	
0	0	354	-19	11	-51	-19	11	0	5	7	0	0	0	221	0	0	-2	
0	0	142	-16	10	-35	-16	10	0	5	7	0	0	0	222	0	0	-4	
0	0	15	-10	9	-19	-10	9	0	5	7	0	0	0	214	0	0	-4	
0	0	40	-8	10	-20	-8	10	0	5	7	0	0	0	207	0	0	-5	
0	0	355	-12	11	25	-12	11	0	5	7	0	0	0	212	0	0	-4	
0	0	406	-18	11	9	-18	11	0	5	7	0	0	0	219	0	0	-3	
0	0	386	-19	11	10	-19	11	0	5	7	0	0	0	226	0	0	-3	
0	0	41	-13	11	9	-13	11	0	5	7	0	0	0	221	0	0	-2	
0	0	1	-6	10	-22	-6	10	0	5	7	0	0	0	212	0	0	-2	
0	0	30	-7	9	-25	-7	9	0	5	7	0	0	0	204	0	0	-3	
0	0	393	-13	9	-12	-13	9	0	5	7	0	0	0	210	0	0	-4	
0	0	404	-21	9	-12	-21	9	0	5	7	0	0	0	219	0	0	-4	
0	0	344	-22	10	-14	-22	10	0	5	7	0	0	0	224	0	0	-4	
0	0	80	-18	11	16	-18	11	0	5	7	0	0	0	219	0	0	-3	
0	0	26	-12	12	7	-12	12	0	5	7	0	0	0	211	0	0	-3	
0	0	49	-12	13	9	-12	13	0	5	7	0	0	0	204	0	0	-3	
0	0	386	-18	12	8	-18	12	0	5	7	0	0	0	210	0	0	-2	
0	0	421	-24	11	-26	-24	11	0	5	7	0	0	0	218	0	0	-3	
0	0	86	-24	10	-14	-24	10	0	5	7	0	0	0	220	0	0	-4	
0	0	44	-19	10	-13	-19	10	0	5	7	0	0	0	214	0	0	-4	
0	0	80	-16	11	-15	-16	11	0	5	7	0	0	0	208	0	0	-4	
0	0	317	-19	11	24	-19	11	0	5	7	0	0	0	208	0	0	-3	
0	0	420	-25	12	14	-25	12	0	5	7	0	0	0	215	0	0	-3	
0	0	404	-26	11	15	-26	11	0	5	7	0	0	0	223	0	0	-2	
0	0	96	-22	10	-15	-22	10	0	5	7	0	0	0	218	0	0	-3	
0	0	32	-16	9	-12	-16	9	0	5	7	0	0	0	211	0	0	-3	
0	0	56	-16	9	-13	-16	9	0	5	7	0	0	0	205	0	0	-3	
0	0	387	-21	9	-13	-21	9	0	5	7	0	0	0	210	0	0	-4	
0	0	420	-26	10	-12	-26	10	0	5	7	0	0	0	219	0	0	-4	
0	0	94	-25	11	20	-25	11	0	5	7	0	0	0	220	0	0	-3	
0	0	35	-19	11	4	-19	11	0	5	7	0	0	0	214	0	0	-3	
0	0	62	-16	12	5	-16	12	0	5	7	0	0	0	208	0	0	-2	
0	0	298	-18	11	14	-18	11	0	5	7	0	0	0	207	0	0	-2	
0	0	408	-24	11	4	-24	11	0	5	7	0	0	0	214	0	0	-2	
0	0	413	-26	10	-21	-26	10	0	5	7	0	0	0	222	0	0	-2	
0	0	69	-21	9	-22	-21	9	0	5	7	0	0	0	216	0	0	-3	
0	0	40	-15	10	3	-15	10	0	5	7	0	0	0	209	0	0	-3	
0	0	354	-15	11	5	-15	11	0	5	7	0	0	0	209	0	0	-3	
0	0	380	-20	11	8	-20	11	0	5	7	0	0	0	214	0	0	-2	
0	0	397	-22	12	7	-22	12	0	5	7	0	0	0	221	0	0	-2	
0	0	123	-18	11	12	-18	11	0	5	7	0	0	0	217	0	0	-2	
0	0	30	-14	10	-22	-14	10	0	5	7	0	0	0	210	0	0	-2	
0	0	66	-14	10	-26	-14	10	0	5	7	0	0	0	204	0	0	-3	
0	0	410	-20	10	-23	-20	10	0	5	7	0	0	0	210	0	0	-4	
0	0	427	-26	11	6	-26	11	0	5	7	0	0	0	218	0	0	-4	
0	0	88	-26	12	8	-26	12	0	5	7	0	0	0	220	0	0	-4	
0	0	36	-19	13	8	-19	13	0	5	7	0	0	0	214	0	0	-3	
0	0	66	-16	13	22	-16	13	0	5	7	0	0	0	208	0	0	-2	
0	0	340	-18	12	25	-18	12	0	5	7	0	0	0	208	0	0	-1	
0	0	407	-23	11	-20	-23	11	0	5	7	0	0	0	215	0	0	-1	
0	0	416	-25	9	-14	-25	9	0	5	7	0	0	0	222	0	0	-2	
0	0	117	-20	8	-43	-20	8	0	5	7	0	0	0	218	0	0	-3	
0	0	22	-14	8	-34	-14	8	0	5	7	0	0	0	211	0	0	-4	
0	0	340	-13	9	35	-13	9	0	5	7	0	0	0	210	0	0	-3	
0	0	379	-18	10	11	-18	10	0	5	7	0	0	0	215	0	0	-2	
0	0	363	-21	10	12	-21	10	0	5	7	0	0	0	221	0	0	-1	
0	0	151	-18	9	-44	-18	9	0	5	7	0	0	0	222	0	0	-2	
0	0	18	-12	8	-24	-12	8	0	5	7	0	0	0	215	0	0	-3	
0	0	349	-10	8	-27	-10	8	0	5	7	0	0	0	215	0	0	-4	
